NAME,ELEVATION,LAT,LON
Rangitoto,260,-36.789875,174.867217
Mt Ruapehu,2797,-39.280889,175.564296
Rainbow Mountain,743,-38.319374, 176.388172
Mount Maunganui,232,-37.630425, 176.172164
Mount Ngauruhoe,2291,-39.156920, 175.632144
Mount Ngongotahā,487,-38.121100, 176.197991
Pihanga,1325,-39.041718, 175.768321
Putauaki,867,-38.106892, 176.739851
Mount Tarawera,1111,-38.226696, 176.506671
Mount Tauhara,1087,-38.693713, 176.159966
Mount Tongariro,1968,-39.134465, 175.652543
Whakaari / White Island,321,-37.521717, 177.184565
Hauhungatahi,1521,-39.231317, 175.444563
Mayor Island / Tūhua,338,-37.286509, 176.251234
Moutohora Island,354,-37.855283, 176.972339
Mount Taranaki,2518,-39.296723, 174.063472
Kakepuku,449,-38.068680, 175.251962
Karioi,756,-37.854945, 174.791120
Little Barrier Island,722,-36.197648, 175.081139
Maungatautari,797,-38.028317, 175.569793
Mount Pirongia,962,-37.994244, 175.095224
Dunedin Volcano,680,-45.847958, 170.636065
Lyttelton Volcano,919,-43.602948, 172.653410